Evaluation,mean,median,count,prop_0_0p5,prop_0p5_1,prop_0.5_3,prop_0.5_5,prop_0.5_30,prop_1_3,prop_1_5,prop_1_30,prop_3_30,prop_5_30,prop_gt10,prop_sum_check
CA-APFO-TW-24036_2024-08-30,0.1725003168575397,0.12999999523162842,7887,0.9581589958158996,0.03803727653100038,0.04184100418410042,0.04184100418410042,0.04184100418410042,0.003803727653100038,0.003803727653100038,0.003803727653100038,0,0,0,1.1331304678585012
CA-ELFO-TW-22129_2023-09-22,0.11145622897516898,0.09000000357627869,3564,0.9943883277216611,0.005611672278338945,0.005611672278338945,0.005611672278338945,0.005611672278338945,0,0,0,0,0,0,1.016835016835017
CA-ELFO-TW-22129_2024-09-28,0.11145622897516898,0.09000000357627869,3564,0.9943883277216611,0.005611672278338945,0.005611672278338945,0.005611672278338945,0.005611672278338945,0,0,0,0,0,0,1.016835016835017
CA-ELFO-TW-22130_2023-09-23,0.06698216528530902,0.05000000074505806,7850,0.9987261146496815,0.0012738853503184713,0.0012738853503184713,0.0012738853503184713,0.0012738853503184713,0,0,0,0,0,0,1.0038216560509554
CA-ELFO-TW-21103_2022-09-21,0.06626730416018844,0.05999999865889549,7946,1,0,0,0,0,0,0,0,0,0,0,1
CA-ELFO-TW-22090_2023-09-22,0.04817328710909519,0.05000000074505806,3197,1,0,0,0,0,0,0,0,0,0,0,1
CA-ELFO-TW-22130_2024-09-28,0.06698216528530902,0.05000000074505806,7850,0.9987261146496815,0.0012738853503184713,0.0012738853503184713,0.0012738853503184713,0.0012738853503184713,0,0,0,0,0,0,1.0038216560509554
CA-ELFO-TW-22128_2023-09-22,0.02134398331659495,0.01999999955296516,7887,1,0,0,0,0,0,0,0,0,0,0,1
CA-ELFO-TW-22128_2024-09-28,0.02134398331659495,0.01999999955296516,7887,1,0,0,0,0,0,0,0,0,0,0,1
NV-NCD-RW-22534_2022-05-02,6.958032720272223,7.534074112221047,2384,0.010906040268456376,0.031459731543624164,0.13380872483221476,0.23154362416107382,0.9890939597315436,0.10234899328859061,0.20008389261744966,0.9576342281879194,0.8552852348993288,0.7575503355704698,0.1552013422818792,4.4249161073825505
